store_id,sku,units_on_hand,units_in_transit,snapshot_date
S001,SKU0057,16,15,2026-08-29
S001,SKU0058,371,92,2026-08-29
S001,SKU0059,104,46,2026-08-29
S001,SKU0060,321,96,2026-08-29
S001,SKU0061,450,97,2026-08-29
S001,SKU0062,153,87,2026-08-29
S001,SKU0063,221,19,2026-08-29
S001,SKU0064,352,8,2026-08-29
S001,SKU0065,426,20,2026-08-29
S001,SKU0066,242,48,2026-08-29
S001,SKU0067,3,21,2026-08-29
S001,SKU0068,191,4,2026-08-29
S001,SKU0069,272,22,2026-08-29
S001,SKU0070,350,53,2026-08-29
S001,SKU0071,55,10,2026-08-29
S001,SKU0072,391,20,2026-08-29
S001,SKU0073,108,9,2026-08-29
S001,SKU0074,78,53,2026-08-29
S001,SKU0075,55,55,2026-08-29
S001,SKU0076,117,89,2026-08-29
S001,SKU0077,416,21,2026-08-29
S001,SKU0078,136,91,2026-08-29
S001,SKU0079,266,91,2026-08-29
S001,SKU0080,284,86,2026-08-29
S001,SKU0081,271,75,2026-08-29
S001,SKU0082,460,74,2026-08-29
S001,SKU0083,168,57,2026-08-29
S001,SKU0084,80,76,2026-08-29
S001,SKU0085,272,84,2026-08-29
S001,SKU0086,290,27,2026-08-29
S001,SKU0087,488,57,2026-08-29
S001,SKU0088,217,22,2026-08-29
S001,SKU0089,312,56,2026-08-29
S001,SKU0090,142,40,2026-08-29
S001,SKU0091,133,77,2026-08-29
S001,SKU0092,109,93,2026-08-29
S001,SKU0093,408,98,2026-08-29
S001,SKU0094,427,2,2026-08-29
S001,SKU0095,100,51,2026-08-29
S001,SKU0096,151,48,2026-08-29
S001,SKU0097,395,68,2026-08-29
S001,SKU0098,238,11,2026-08-29
S001,SKU0099,447,74,2026-08-29
S001,SKU0100,59,88,2026-08-29
S001,SKU0101,64,6,2026-08-29
S001,SKU0102,117,94,2026-08-29
S001,SKU0103,358,68,2026-08-29
S001,SKU0104,486,14,2026-08-29
S001,SKU0105,286,61,2026-08-29
S001,SKU0106,202,83,2026-08-29
S001,SKU0107,297,91,2026-08-29
S001,SKU0108,377,17,2026-08-29
S001,SKU0109,27,66,2026-08-29
S001,SKU0110,92,68,2026-08-29
S001,SKU0111,448,29,2026-08-29
S001,SKU0112,409,16,2026-08-29
S001,SKU0113,123,6,2026-08-29
S001,SKU0114,260,77,2026-08-29
S001,SKU0115,278,9,2026-08-29
S001,SKU0116,123,68,2026-08-29
S001,SKU0117,282,10,2026-08-29
S001,SKU0118,173,67,2026-08-29
S001,SKU0119,275,11,2026-08-29
S001,SKU0120,132,33,2026-08-29
S001,SKU0121,170,70,2026-08-29
S001,SKU0122,69,22,2026-08-29
S001,SKU0123,22,54,2026-08-29
S001,SKU0124,251,26,2026-08-29
S001,SKU0125,71,28,2026-08-29
S001,SKU0126,357,81,2026-08-29
S001,SKU0127,45,66,2026-08-29
S001,SKU0128,75,79,2026-08-29
S001,SKU0129,226,9,2026-08-29
S001,SKU0130,216,92,2026-08-29
S001,SKU0131,324,69,2026-08-29
S001,SKU0132,41,94,2026-08-29
S001,SKU0133,389,41,2026-08-29
S001,SKU0134,235,21,2026-08-29
S001,SKU0135,348,35,2026-08-29
S001,SKU0136,433,43,2026-08-29
S001,SKU0137,15,4,2026-08-29
S001,SKU0138,391,1,2026-08-29
S001,SKU0139,399,3,2026-08-29
S001,SKU0140,396,85,2026-08-29
S001,SKU0141,353,3,2026-08-29
S001,SKU0142,441,92,2026-08-29
S001,SKU0143,15,10,2026-08-29
S001,SKU0144,165,21,2026-08-29
S001,SKU0145,387,95,2026-08-29
S001,SKU0146,413,81,2026-08-29
S001,SKU0147,299,10,2026-08-29
S001,SKU0148,42,88,2026-08-29
S001,SKU0149,97,61,2026-08-29
S001,SKU0150,487,12,2026-08-29
S001,SKU0151,224,100,2026-08-29
S001,SKU0152,457,68,2026-08-29
S001,SKU0153,331,47,2026-08-29
S001,SKU0154,29,100,2026-08-29
S001,SKU0155,322,95,2026-08-29
S001,SKU0156,495,77,2026-08-29
S001,SKU0157,13,92,2026-08-29
S001,SKU0158,76,45,2026-08-29
S001,SKU0159,160,48,2026-08-29
S001,SKU0160,344,14,2026-08-29
S001,SKU0161,406,64,2026-08-29
S001,SKU0162,330,37,2026-08-29
S001,SKU0163,385,37,2026-08-29
S001,SKU0164,133,20,2026-08-29
S001,SKU0165,43,69,2026-08-29
S001,SKU0166,416,18,2026-08-29
S001,SKU0167,307,85,2026-08-29
S001,SKU0168,295,69,2026-08-29
S001,SKU0169,244,36,2026-08-29
S001,SKU0170,251,66,2026-08-29
S001,SKU0171,466,98,2026-08-29
S001,SKU0172,39,19,2026-08-29
S001,SKU0173,89,97,2026-08-29
S001,SKU0174,147,64,2026-08-29
S001,SKU0175,318,100,2026-08-29
S001,SKU0176,21,40,2026-08-29
S001,SKU0177,194,60,2026-08-29
S001,SKU0178,20,64,2026-08-29
S001,SKU0179,222,59,2026-08-29
S001,SKU0180,13,5,2026-08-29
S001,SKU0181,306,6,2026-08-29
S001,SKU0182,1,84,2026-08-29
S001,SKU0183,133,31,2026-08-29
S001,SKU0184,193,44,2026-08-29
S001,SKU0185,325,43,2026-08-29
S001,SKU0186,45,46,2026-08-29
S001,SKU0187,370,66,2026-08-29
S001,SKU0188,140,67,2026-08-29
S001,SKU0189,76,51,2026-08-29
S001,SKU0190,193,72,2026-08-29
S001,SKU0191,62,30,2026-08-29
S001,SKU0192,211,19,2026-08-29
S001,SKU0193,408,34,2026-08-29
S001,SKU0194,261,29,2026-08-29
S001,SKU0195,164,47,2026-08-29
S001,SKU0196,338,6,2026-08-29
S001,SKU0197,187,39,2026-08-29
S001,SKU0198,420,21,2026-08-29
S001,SKU0199,401,73,2026-08-29
S001,SKU0200,192,93,2026-08-29
S002,SKU0001,21,70,2026-08-29
S002,SKU0002,365,5,2026-08-29
S002,SKU0003,320,60,2026-08-29
S002,SKU0004,27,52,2026-08-29
S002,SKU0005,106,30,2026-08-29
S002,SKU0006,210,77,2026-08-29
S002,SKU0007,438,78,2026-08-29
S002,SKU0008,285,58,2026-08-29
S002,SKU0009,316,45,2026-08-29
S002,SKU0010,402,2,2026-08-29
S002,SKU0011,395,79,2026-08-29
S002,SKU0012,398,81,2026-08-29
S002,SKU0013,487,67,2026-08-29
S002,SKU0014,94,16,2026-08-29
S002,SKU0015,33,7,2026-08-29
S002,SKU0016,137,6,2026-08-29
S002,SKU0017,475,15,2026-08-29
S002,SKU0018,443,50,2026-08-29
S002,SKU0019,129,67,2026-08-29
S002,SKU0020,63,71,2026-08-29
S002,SKU0021,468,67,2026-08-29
S002,SKU0022,378,0,2026-08-29
S002,SKU0023,133,80,2026-08-29
S002,SKU0024,375,33,2026-08-29
S002,SKU0025,492,82,2026-08-29
S002,SKU0026,90,70,2026-08-29
S002,SKU0027,485,60,2026-08-29
S002,SKU0028,255,31,2026-08-29
S002,SKU0029,264,24,2026-08-29
S002,SKU0030,193,91,2026-08-29
S002,SKU0031,391,24,2026-08-29
S002,SKU0032,270,82,2026-08-29
S002,SKU0033,32,51,2026-08-29
S002,SKU0034,137,31,2026-08-29
S002,SKU0035,79,86,2026-08-29
S002,SKU0036,33,18,2026-08-29
S002,SKU0037,356,51,2026-08-29
S002,SKU0038,316,86,2026-08-29
S002,SKU0039,151,92,2026-08-29
S002,SKU0040,87,66,2026-08-29
S002,SKU0041,292,82,2026-08-29
S002,SKU0042,342,85,2026-08-29
S002,SKU0043,374,39,2026-08-29
S002,SKU0044,208,38,2026-08-29
S002,SKU0045,81,2,2026-08-29
S002,SKU0046,124,53,2026-08-29
S002,SKU0047,387,91,2026-08-29
S002,SKU0048,66,47,2026-08-29
S002,SKU0049,369,92,2026-08-29
S002,SKU0050,432,67,2026-08-29
S002,SKU0051,220,27,2026-08-29
S002,SKU0052,53,39,2026-08-29
S002,SKU0053,491,99,2026-08-29
S002,SKU0054,128,10,2026-08-29
S002,SKU0055,236,5,2026-08-29
S002,SKU0056,420,49,2026-08-29
S002,SKU0057,149,80,2026-08-29
S002,SKU0058,199,20,2026-08-29
S002,SKU0059,181,96,2026-08-29
S002,SKU0060,191,96,2026-08-29
S002,SKU0061,148,5,2026-08-29
S002,SKU0062,95,51,2026-08-29
S002,SKU0063,403,29,2026-08-29
S002,SKU0064,369,86,2026-08-29
S002,SKU0065,188,43,2026-08-29
S002,SKU0066,278,87,2026-08-29
S002,SKU0067,95,37,2026-08-29
S002,SKU0068,98,93,2026-08-29
S002,SKU0069,11,85,2026-08-29
S002,SKU0070,43,60,2026-08-29
S002,SKU0071,193,39,2026-08-29
S002,SKU0072,210,35,2026-08-29
S002,SKU0073,441,37,2026-08-29
S002,SKU0074,262,73,2026-08-29
S002,SKU0075,491,67,2026-08-29
S002,SKU0076,258,2,2026-08-29
S002,SKU0077,395,28,2026-08-29
S002,SKU0078,374,13,2026-08-29
S002,SKU0079,188,30,2026-08-29
S002,SKU0080,284,89,2026-08-29
S002,SKU0081,256,66,2026-08-29
S002,SKU0082,91,35,2026-08-29
S002,SKU0083,169,92,2026-08-29
S002,SKU0084,497,17,2026-08-29
S002,SKU0085,238,78,2026-08-29
S002,SKU0086,425,89,2026-08-29
S002,SKU0087,31,86,2026-08-29
S002,SKU0088,352,43,2026-08-29
S002,SKU0089,19,37,2026-08-29
S002,SKU0090,351,81,2026-08-29
S002,SKU0091,29,37,2026-08-29
S002,SKU0092,122,26,2026-08-29
S002,SKU0093,469,27,2026-08-29
S002,SKU0094,106,97,2026-08-29
S002,SKU0095,421,45,2026-08-29
S002,SKU0096,99,67,2026-08-29
S002,SKU0097,131,75,2026-08-29
S002,SKU0098,161,90,2026-08-29
S002,SKU0099,62,50,2026-08-29
S002,SKU0100,372,28,2026-08-29
S002,SKU0101,413,18,2026-08-29
S002,SKU0102,412,13,2026-08-29
S002,SKU0103,46,12,2026-08-29
S002,SKU0104,364,76,2026-08-29
S002,SKU0105,232,67,2026-08-29
S002,SKU0106,238,92,2026-08-29
S002,SKU0107,449,100,2026-08-29
S002,SKU0108,63,69,2026-08-29
S002,SKU0109,24,77,2026-08-29
S002,SKU0110,499,25,2026-08-29
S002,SKU0111,123,75,2026-08-29
S002,SKU0112,46,80,2026-08-29
S002,SKU0113,347,25,2026-08-29
S002,SKU0114,252,27,2026-08-29
S002,SKU0115,68,51,2026-08-29
S002,SKU0116,329,41,2026-08-29
S002,SKU0117,115,5,2026-08-29
S002,SKU0118,451,52,2026-08-29
S002,SKU0119,437,4,2026-08-29
S002,SKU0120,370,9,2026-08-29
S002,SKU0121,489,10,2026-08-29
S002,SKU0122,470,96,2026-08-29
S002,SKU0123,313,97,2026-08-29
S002,SKU0124,258,63,2026-08-29
S002,SKU0125,388,41,2026-08-29
S002,SKU0126,199,12,2026-08-29
S002,SKU0127,236,64,2026-08-29
S002,SKU0128,439,52,2026-08-29
S002,SKU0129,398,70,2026-08-29
S002,SKU0130,368,67,2026-08-29
S002,SKU0131,456,1,2026-08-29
S002,SKU0132,5,23,2026-08-29
S002,SKU0133,106,3,2026-08-29
S002,SKU0134,415,3,2026-08-29
S002,SKU0135,300,13,2026-08-29
S002,SKU0136,171,99,2026-08-29
S002,SKU0137,212,14,2026-08-29
S002,SKU0138,281,16,2026-08-29
S002,SKU0139,428,76,2026-08-29
S002,SKU0140,268,1,2026-08-29
S002,SKU0141,125,88,2026-08-29
S002,SKU0142,193,42,2026-08-29
S002,SKU0143,241,81,2026-08-29
S002,SKU0144,359,63,2026-08-29
S002,SKU0145,135,93,2026-08-29
S002,SKU0146,145,76,2026-08-29
S002,SKU0147,61,92,2026-08-29
S002,SKU0148,464,53,2026-08-29
S002,SKU0149,469,0,2026-08-29
S002,SKU0150,451,79,2026-08-29
S002,SKU0151,348,27,2026-08-29
S002,SKU0152,200,47,2026-08-29
S002,SKU0153,312,44,2026-08-29
S002,SKU0154,68,7,2026-08-29
S002,SKU0155,39,39,2026-08-29
S002,SKU0156,309,9,2026-08-29
S002,SKU0157,413,15,2026-08-29
S002,SKU0158,445,67,2026-08-29
S002,SKU0159,327,98,2026-08-29
S002,SKU0160,294,36,2026-08-29
S002,SKU0161,55,69,2026-08-29
S002,SKU0162,149,28,2026-08-29
S002,SKU0163,118,50,2026-08-29
S002,SKU0164,271,61,2026-08-29
S002,SKU0165,175,3,2026-08-29
S002,SKU0166,300,17,2026-08-29
S002,SKU0167,387,52,2026-08-29
S002,SKU0168,99,21,2026-08-29
S002,SKU0169,417,92,2026-08-29
S002,SKU0170,80,27,2026-08-29
S002,SKU0171,310,77,2026-08-29
S002,SKU0172,258,18,2026-08-29
S002,SKU0173,37,30,2026-08-29
S002,SKU0174,231,35,2026-08-29
S002,SKU0175,171,43,2026-08-29
S002,SKU0176,214,9,2026-08-29
S002,SKU0177,47,32,2026-08-29
S002,SKU0178,478,4,2026-08-29
S002,SKU0179,356,95,2026-08-29
S002,SKU0180,438,93,2026-08-29
S002,SKU0181,150,16,2026-08-29
S002,SKU0182,266,68,2026-08-29
S002,SKU0183,208,95,2026-08-29
S002,SKU0184,21,46,2026-08-29
S002,SKU0185,322,2,2026-08-29
S002,SKU0186,398,43,2026-08-29
S002,SKU0187,121,63,2026-08-29
S002,SKU0188,479,50,2026-08-29
S002,SKU0189,219,55,2026-08-29
S002,SKU0190,494,95,2026-08-29
S002,SKU0191,23,66,2026-08-29
S002,SKU0192,355,12,2026-08-29
S002,SKU0193,59,95,2026-08-29
S002,SKU0194,65,54,2026-08-29
S002,SKU0195,399,2,2026-08-29
S002,SKU0196,480,5,2026-08-29
S002,SKU0197,483,24,2026-08-29
S002,SKU0198,447,7,2026-08-29
S002,SKU0199,266,26,2026-08-29
S002,SKU0200,184,49,2026-08-29
S003,SKU0001,203,77,2026-08-29
S003,SKU0002,45,97,2026-08-29
S003,SKU0003,13,49,2026-08-29
S003,SKU0004,78,87,2026-08-29
S003,SKU0005,233,9,2026-08-29
S003,SKU0006,164,95,2026-08-29
S003,SKU0007,108,12,2026-08-29
S003,SKU0008,487,22,2026-08-29
S003,SKU0009,393,27,2026-08-29
S003,SKU0010,130,43,2026-08-29
S003,SKU0011,182,6,2026-08-29
S003,SKU0012,418,55,2026-08-29
S003,SKU0013,260,70,2026-08-29
S003,SKU0014,93,55,2026-08-29
S003,SKU0015,292,13,2026-08-29
S003,SKU0016,248,80,2026-08-29
S003,SKU0017,433,62,2026-08-29
S003,SKU0018,217,97,2026-08-29
S003,SKU0019,287,82,2026-08-29
S003,SKU0020,462,18,2026-08-29
S003,SKU0021,318,26,2026-08-29
S003,SKU0022,268,33,2026-08-29
S003,SKU0023,148,95,2026-08-29
S003,SKU0024,493,5,2026-08-29
S003,SKU0025,59,30,2026-08-29
S003,SKU0026,155,70,2026-08-29
S003,SKU0027,2,67,2026-08-29
S003,SKU0028,229,99,2026-08-29
S003,SKU0029,99,43,2026-08-29
S003,SKU0030,152,30,2026-08-29
S003,SKU0031,244,85,2026-08-29
S003,SKU0032,467,70,2026-08-29
S003,SKU0033,377,67,2026-08-29
S003,SKU0034,69,52,2026-08-29
S003,SKU0035,23,27,2026-08-29
S003,SKU0036,119,82,2026-08-29
S003,SKU0037,191,78,2026-08-29
S003,SKU0038,370,15,2026-08-29
S003,SKU0039,27,13,2026-08-29
S003,SKU0040,341,47,2026-08-29
S003,SKU0041,231,88,2026-08-29
S003,SKU0042,355,2,2026-08-29
S003,SKU0043,310,6,2026-08-29
S003,SKU0044,259,47,2026-08-29
S003,SKU0045,289,74,2026-08-29
S003,SKU0046,362,8,2026-08-29
S003,SKU0047,411,37,2026-08-29
S003,SKU0048,146,73,2026-08-29
S003,SKU0049,93,2,2026-08-29
S003,SKU0050,365,57,2026-08-29
S003,SKU0051,130,74,2026-08-29
S003,SKU0052,413,21,2026-08-29
S003,SKU0053,206,96,2026-08-29
S003,SKU0054,306,90,2026-08-29
S003,SKU0055,293,79,2026-08-29
S003,SKU0056,482,80,2026-08-29
S003,SKU0057,215,98,2026-08-29
S003,SKU0058,319,73,2026-08-29
S003,SKU0059,413,48,2026-08-29
S003,SKU0060,445,99,2026-08-29
S003,SKU0061,336,37,2026-08-29
S003,SKU0062,425,70,2026-08-29
S003,SKU0063,328,77,2026-08-29
S003,SKU0064,388,76,2026-08-29
S003,SKU0065,381,93,2026-08-29
S003,SKU0066,346,86,2026-08-29
S003,SKU0067,389,58,2026-08-29
S003,SKU0068,45,66,2026-08-29
S003,SKU0069,151,18,2026-08-29
S003,SKU0070,274,100,2026-08-29
S003,SKU0071,187,74,2026-08-29
S003,SKU0072,196,81,2026-08-29
S003,SKU0073,487,72,2026-08-29
S003,SKU0074,127,18,2026-08-29
S003,SKU0075,169,72,2026-08-29
S003,SKU0076,52,37,2026-08-29
S003,SKU0077,10,98,2026-08-29
S003,SKU0078,256,39,2026-08-29
S003,SKU0079,291,79,2026-08-29
S003,SKU0080,405,24,2026-08-29
S003,SKU0081,488,22,2026-08-29
S003,SKU0082,455,24,2026-08-29
S003,SKU0083,55,23,2026-08-29
S003,SKU0084,429,99,2026-08-29
S003,SKU0085,413,28,2026-08-29
S003,SKU0086,150,99,2026-08-29
S003,SKU0087,72,99,2026-08-29
S003,SKU0088,496,55,2026-08-29
S003,SKU0089,206,72,2026-08-29
S003,SKU0090,286,7,2026-08-29
S003,SKU0091,208,79,2026-08-29
S003,SKU0092,358,2,2026-08-29
S003,SKU0093,285,60,2026-08-29
S003,SKU0094,79,50,2026-08-29
S003,SKU0095,327,15,2026-08-29
S003,SKU0096,234,97,2026-08-29
S003,SKU0097,213,3,2026-08-29
S003,SKU0098,328,56,2026-08-29
S003,SKU0099,89,95,2026-08-29
S003,SKU0100,110,39,2026-08-29
S003,SKU0101,287,92,2026-08-29
S003,SKU0102,116,66,2026-08-29
S003,SKU0103,310,28,2026-08-29
S003,SKU0104,166,85,2026-08-29
S003,SKU0105,339,77,2026-08-29
S003,SKU0106,464,46,2026-08-29
S003,SKU0107,332,31,2026-08-29
S003,SKU0108,460,66,2026-08-29
S003,SKU0109,70,84,2026-08-29
S003,SKU0110,459,71,2026-08-29
S003,SKU0111,387,2,2026-08-29
S003,SKU0112,428,36,2026-08-29
S003,SKU0113,423,0,2026-08-29
S003,SKU0114,459,44,2026-08-29
S003,SKU0115,491,52,2026-08-29
S003,SKU0116,454,84,2026-08-29
S003,SKU0117,60,18,2026-08-29
S003,SKU0118,461,88,2026-08-29
S003,SKU0119,289,78,2026-08-29
S003,SKU0120,222,43,2026-08-29
S003,SKU0121,15,70,2026-08-29
S003,SKU0122,411,100,2026-08-29
S003,SKU0123,75,51,2026-08-29
S003,SKU0124,302,97,2026-08-29
S003,SKU0125,183,69,2026-08-29
S003,SKU0126,346,18,2026-08-29
S003,SKU0127,222,84,2026-08-29
S003,SKU0128,136,11,2026-08-29
S003,SKU0129,401,70,2026-08-29
S003,SKU0130,195,73,2026-08-29
S003,SKU0131,193,44,2026-08-29
S003,SKU0132,208,80,2026-08-29
S003,SKU0133,37,27,2026-08-29
S003,SKU0134,7,71,2026-08-29
S003,SKU0135,246,54,2026-08-29
S003,SKU0136,50,86,2026-08-29
S003,SKU0137,425,87,2026-08-29
S003,SKU0138,451,18,2026-08-29
S003,SKU0139,392,24,2026-08-29
S003,SKU0140,413,67,2026-08-29
S003,SKU0141,160,73,2026-08-29
S003,SKU0142,172,96,2026-08-29
S003,SKU0143,61,32,2026-08-29
S003,SKU0144,431,24,2026-08-29
S003,SKU0145,397,34,2026-08-29
S003,SKU0146,204,69,2026-08-29
S003,SKU0147,76,30,2026-08-29
S003,SKU0148,300,98,2026-08-29
S003,SKU0149,159,65,2026-08-29
S003,SKU0150,139,80,2026-08-29
S003,SKU0151,460,5,2026-08-29
S003,SKU0152,437,3,2026-08-29
S003,SKU0153,426,21,2026-08-29
S003,SKU0154,244,96,2026-08-29
S003,SKU0155,114,0,2026-08-29
S003,SKU0156,3,85,2026-08-29
S003,SKU0157,436,65,2026-08-29
S003,SKU0158,222,76,2026-08-29
S003,SKU0159,200,49,2026-08-29
S003,SKU0160,32,7,2026-08-29
S003,SKU0161,59,97,2026-08-29
S003,SKU0162,198,64,2026-08-29
S003,SKU0163,103,9,2026-08-29
S003,SKU0164,41,85,2026-08-29
S003,SKU0165,98,78,2026-08-29
S003,SKU0166,171,3,2026-08-29
S003,SKU0167,24,8,2026-08-29
S003,SKU0168,192,67,2026-08-29
S003,SKU0169,28,78,2026-08-29
S003,SKU0170,331,35,2026-08-29
S003,SKU0171,41,37,2026-08-29
S003,SKU0172,322,77,2026-08-29
S003,SKU0173,37,94,2026-08-29
S003,SKU0174,164,6,2026-08-29
S003,SKU0175,232,52,2026-08-29
S003,SKU0176,396,22,2026-08-29
S003,SKU0177,441,80,2026-08-29
S003,SKU0178,267,25,2026-08-29
S003,SKU0179,446,74,2026-08-29
S003,SKU0180,486,56,2026-08-29
S003,SKU0181,328,52,2026-08-29
S003,SKU0182,321,18,2026-08-29
S003,SKU0183,25,93,2026-08-29
S003,SKU0184,188,28,2026-08-29
S003,SKU0185,326,35,2026-08-29
S003,SKU0186,138,2,2026-08-29
S003,SKU0187,458,63,2026-08-29
S003,SKU0188,225,56,2026-08-29
S003,SKU0189,306,36,2026-08-29
S003,SKU0190,200,20,2026-08-29
S003,SKU0191,29,91,2026-08-29
S003,SKU0192,482,57,2026-08-29
S003,SKU0193,453,17,2026-08-29
S003,SKU0194,371,51,2026-08-29
S003,SKU0195,390,52,2026-08-29
S003,SKU0196,343,16,2026-08-29
S003,SKU0197,305,17,2026-08-29
S003,SKU0198,176,2,2026-08-29
S003,SKU0199,284,11,2026-08-29
S003,SKU0200,381,62,2026-08-29
S004,SKU0001,371,80,2026-08-29
S004,SKU0002,422,60,2026-08-29
S004,SKU0003,472,49,2026-08-29
S004,SKU0004,472,6,2026-08-29
S004,SKU0005,82,72,2026-08-29
S004,SKU0006,358,77,2026-08-29
S004,SKU0007,34,98,2026-08-29
S004,SKU0008,398,33,2026-08-29
S004,SKU0009,11,50,2026-08-29
S004,SKU0010,479,67,2026-08-29
S004,SKU0011,345,68,2026-08-29
S004,SKU0012,134,8,2026-08-29
S004,SKU0013,496,24,2026-08-29
S004,SKU0014,101,25,2026-08-29
S004,SKU0015,232,29,2026-08-29
S004,SKU0016,45,16,2026-08-29
S004,SKU0017,488,40,2026-08-29
S004,SKU0018,183,91,2026-08-29
S004,SKU0019,476,21,2026-08-29
S004,SKU0020,103,44,2026-08-29
S004,SKU0021,468,51,2026-08-29
S004,SKU0022,55,59,2026-08-29
S004,SKU0023,278,10,2026-08-29
S004,SKU0024,237,1,2026-08-29
S004,SKU0025,104,21,2026-08-29
S004,SKU0026,347,13,2026-08-29
S004,SKU0027,40,77,2026-08-29
S004,SKU0028,83,0,2026-08-29
S004,SKU0029,194,14,2026-08-29
S004,SKU0030,112,96,2026-08-29
S004,SKU0031,216,30,2026-08-29
S004,SKU0032,422,65,2026-08-29
S004,SKU0033,342,40,2026-08-29
S004,SKU0034,67,59,2026-08-29
S004,SKU0035,253,69,2026-08-29
S004,SKU0036,293,44,2026-08-29
S004,SKU0037,192,15,2026-08-29
S004,SKU0038,97,27,2026-08-29
S004,SKU0039,229,9,2026-08-29
S004,SKU0040,456,85,2026-08-29
S004,SKU0041,279,37,2026-08-29
S004,SKU0042,157,33,2026-08-29
S004,SKU0043,303,6,2026-08-29
S004,SKU0044,371,21,2026-08-29
S004,SKU0045,442,74,2026-08-29
S004,SKU0046,165,6,2026-08-29
S004,SKU0047,72,50,2026-08-29
S004,SKU0048,150,65,2026-08-29
S004,SKU0049,22,12,2026-08-29
S004,SKU0050,220,35,2026-08-29
S004,SKU0051,145,6,2026-08-29
S004,SKU0052,121,57,2026-08-29
S004,SKU0053,104,87,2026-08-29
S004,SKU0054,128,13,2026-08-29
S004,SKU0055,203,60,2026-08-29
S004,SKU0056,273,13,2026-08-29
S004,SKU0057,474,18,2026-08-29
S004,SKU0058,463,59,2026-08-29
S004,SKU0059,379,63,2026-08-29
S004,SKU0060,341,65,2026-08-29
S004,SKU0061,87,23,2026-08-29
S004,SKU0062,38,1,2026-08-29
S004,SKU0063,426,20,2026-08-29
S004,SKU0064,327,11,2026-08-29
S004,SKU0065,449,62,2026-08-29
S004,SKU0066,457,75,2026-08-29
S004,SKU0067,274,23,2026-08-29
S004,SKU0068,52,80,2026-08-29
S004,SKU0069,99,33,2026-08-29
S004,SKU0070,265,53,2026-08-29
S004,SKU0071,87,73,2026-08-29
S004,SKU0072,279,43,2026-08-29
S004,SKU0073,376,62,2026-08-29
S004,SKU0074,401,93,2026-08-29
S004,SKU0075,351,77,2026-08-29
S004,SKU0076,224,29,2026-08-29
S004,SKU0077,388,54,2026-08-29
S004,SKU0078,443,29,2026-08-29
S004,SKU0079,447,69,2026-08-29
S004,SKU0080,124,14,2026-08-29
S004,SKU0081,434,65,2026-08-29
S004,SKU0082,90,69,2026-08-29
S004,SKU0083,348,40,2026-08-29
S004,SKU0084,209,3,2026-08-29
S004,SKU0085,173,29,2026-08-29
S004,SKU0086,293,96,2026-08-29
S004,SKU0087,230,94,2026-08-29
S004,SKU0088,11,63,2026-08-29
S004,SKU0089,402,89,2026-08-29
S004,SKU0090,301,69,2026-08-29
S004,SKU0091,368,81,2026-08-29
S004,SKU0092,219,51,2026-08-29
S004,SKU0093,348,15,2026-08-29
S004,SKU0094,232,61,2026-08-29
S004,SKU0095,358,7,2026-08-29
S004,SKU0096,206,63,2026-08-29
S004,SKU0097,120,51,2026-08-29
